_startofquery
"Current Time: 10/07/2022 20:51:20"
"Servername: LAPTOP-L0P7GP6U"
"Sample StartDate: 05/06/2022 09:00:51"
"Sample EndDate: 05/06/2022 10:24:51"
"Number of Data Samples:  13380"
Tagname:  	Date/Time: 	Value: 	Quality: 	Comments:
SCADA1.FT001.F_CV 	06/05/2022 09:47:40 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:44 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:44 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:45 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:46 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:47 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:48 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:49 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:50 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:51 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:52 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:53 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:54 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:55 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:56 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:57 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:58 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:47:59 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:00 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:01 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:02 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:03 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:04 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:05 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:06 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:07 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:08 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:09 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:10 	0 	Bad 	
SCADA1.FT001.F_CV 	06/05/2022 09:48:11 	0 	Bad 	
