_startofquery
"Current Time: 10/07/2022 20:46:18"
"Servername: LAPTOP-L0P7GP6U"
"Sample StartDate: 05/06/2022 10:10:57"
"Sample EndDate: 05/06/2022 10:20:57"
"Number of Data Samples:  1320"
Tagname:  	Date/Time: 	Value: 	Quality: 	Comments:
SCADA1.FT001.F_CV 	06/05/2022 10:10:58 	1,21204E-21 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:10:59 	5,20162E-22 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:00 	2,271659E-22 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:01 	6,806057E-23 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:02 	4,358306E-23 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:03 	1,911523E-23 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:04 	8,390082E-24 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:05 	3,659859E-24 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:06 	1,589437E-24 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:07 	6,92286E-25 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:08 	3,015943E-25 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:09 	1,332573E-25 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:10 	5,725053E-26 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:11 	2,502294E-26 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:12 	1,07304E-26 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:13 	4,756901E-27 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:14 	2,036301E-27 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:15 	9,094268E-28 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:16 	4,001754E-28 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:17 	1,752016E-28 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:18 	7,67702E-29 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:19 	3,303233E-29 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:20 	4,302895E-30 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:21 	2,753399E-30 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:22 	1,207356E-30 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:23 	5,294189E-31 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:24 	2,307986E-31 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:25 	1,001346E-31 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:26 	1,001346E-31 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:27 	1,930766E-32 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:28 	1,930766E-32 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:29 	8,417854E-33 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:30 	3,634653E-33 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:31 	1,600701E-33 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:32 	7,089865E-34 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:33 	3,055402E-34 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:34 	1,329899E-34 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:35 	5,755314E-35 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:36 	2,549301E-35 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:37 	1,09774E-35 	Good 	
SCADA1.FT001.F_CV 	06/05/2022 10:11:38 	3,080498E-36 	Good 	
