_startofquery
"Current Time: 10/07/2022 20:52:29"
"Servername: LAPTOP-L0P7GP6U"
"Sample StartDate: 05/06/2022 10:23:51"
"Sample EndDate: 05/06/2022 10:50:51"
"Number of Data Samples:  4860"
Tagname:  	Date/Time: 	Value: 	Quality: 	Comments:
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:52 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:53 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:54 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:55 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:56 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:57 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:58 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:23:59 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:00 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:01 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:02 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:03 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:04 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:05 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:06 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:07 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:08 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:09 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:10 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:11 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:12 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:13 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:14 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:15 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:16 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:17 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:18 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:19 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:20 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:21 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:22 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:23 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:24 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:25 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:26 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:27 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:28 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:29 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:30 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:31 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:32 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:33 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:34 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:35 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:36 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:37 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:38 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:39 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:40 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:41 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:42 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:43 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:44 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:45 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:46 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:47 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:48 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:49 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:50 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:51 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:52 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:53 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:54 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:55 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:56 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:57 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:58 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:24:59 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:00 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:01 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:02 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:03 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:04 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:05 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:06 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:07 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:08 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:09 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:10 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:11 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:12 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:13 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:14 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:15 	4 	Good 	
SCADA1.PID0FT1_SP.F_CV 	06/05/2022 10:25:16 	4 	Good 	
