_startofquery
"Current Time: 10/07/2022 20:49:40"
"Servername: LAPTOP-L0P7GP6U"
"Sample StartDate: 05/06/2022 10:00:51"
"Sample EndDate: 05/06/2022 10:31:51"
"Number of Data Samples:  9672"
Tagname:  	Date/Time: 	Value: 	Quality: 	Comments:
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:59 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:00 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:01 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:02 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:03 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:04 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:05 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:06 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:07 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:08 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:09 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:10 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:11 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:12 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:13 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:14 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:15 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:16 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:17 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:18 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:19 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:20 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:21 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:22 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:23 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:24 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:25 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:26 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:27 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:28 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:29 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:30 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:31 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:32 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:33 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:34 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:35 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:36 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:37 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:38 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:39 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:40 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:41 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:42 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:43 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:44 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:45 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:46 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:47 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:48 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:49 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:50 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:51 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:52 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:53 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:54 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:55 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:56 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:57 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:58 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:59 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:00 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:01 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:02 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:03 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:04 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:05 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:06 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:07 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:08 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:09 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:10 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:11 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:12 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:13 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:14 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:15 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:16 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:17 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:18 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:19 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:20 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:21 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:22 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:23 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:24 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:25 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:26 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:27 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:28 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:29 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:30 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:31 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:32 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:33 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:34 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:35 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:36 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:37 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:38 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:39 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:40 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:41 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:42 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:43 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:44 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:45 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:46 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:47 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:48 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:49 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:50 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:51 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:52 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:53 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:54 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:55 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:56 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:57 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:58 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:03:59 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:00 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:01 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:02 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:03 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:04 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:05 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:06 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:07 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:08 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:09 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:10 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:11 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:12 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:13 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:14 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:15 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:16 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:17 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:18 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:19 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:20 	300 	Good 	
